Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
meiosis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
meninges,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
metacarpal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
metatarsal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
midbrain,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
middle age spread,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
middle ear,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
middle finger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
milk tooth,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
molar,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
monocyte,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
mons pubis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
motoneuron,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
motor neuron,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
mouth ulcer,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
mucous membrane,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
musculature,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
musquash,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
myelin,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
nape,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
neocortex,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
occipital bone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
oesophagus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
oviduct,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ovum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
oxter,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pancreas,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
parson's nose,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pastern,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pate,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
patella,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
paunch,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pecker,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pectoral,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
peg leg,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pelvic floor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pelvis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
penis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
peritoneum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
phagocyte,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pharynx,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
photoreceptor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
piles,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pineal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pinky,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pituitary,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
placenta,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
platelet,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pleura,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
plumage,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pope's nose,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pork scratchings,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
port wine stain,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
portal vein,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
prepuce,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
private parts,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
prostate,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pube,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pubis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
pudenda,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
puppy fat,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
quadriceps,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
quick,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
quim,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
rectum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
red blood cell,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
red cell,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
retina,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
right brain,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ring finger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
Roman nose,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
sacrum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
saliva,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
scapula,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
semen,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
shell like,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
shin,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
shin bone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
shiner,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
shortening,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
shoulder blade,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
sinus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
sloe eyes,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
smooth muscle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
snaggle tooth,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
spermatozoon,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
sphincter,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
spinal column,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
spinal cord,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
splay foot,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
split end,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
spore,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
stem cell,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
sternum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
stigmata,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
stretch marks,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
subconscious,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
suet,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
superego,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
sweetbread,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tailbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tallow,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
talon,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tarsal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tear duct,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tendon,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tensor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
testicle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
testis,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
thigh bone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
thorax,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
thread vein,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
thymus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
thyroid,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tibia,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
titty,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
todger,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
toenail,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tonsil,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tonsure,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
toothbrush moustache,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tootsies,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
trachea,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
triceps,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tummy,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tumour,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tusk,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
tympanum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
udder,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ulna,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
umbilical cord,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
unconscious,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
urethra,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
uterus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
uvula,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vagina,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
varicose vein,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vas deferens,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
velum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vena cava,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vertebra,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
visage,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
viscera,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vitals,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vocal cords,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
vulva,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
walrus moustache,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wazoo,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
weal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wedding tackle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
welt,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
Wernicke's area,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wetware,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
white blood cell,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
willie,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
willy,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wimple,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
windpipe,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wisdom tooth,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wishbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
withers,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
womb,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
wrist,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
zygote,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
1000th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
100th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
10th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
11th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
12th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
13th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
14th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
15th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
16th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
17th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
18th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
19th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
1st,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
20th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
21st,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
22nd,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
23rd,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
24th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
25th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
2nd,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
30th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
31st,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
3rd,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
40th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
4th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
50th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
5th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
60th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
6th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
70th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
7th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
80th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
8th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
90th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
9th,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eight,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eighteen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eighteenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eighth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eightieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eighty,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eleven,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Eleventh,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fifteen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fifteenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fifth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fiftieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fifty,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
First,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Five,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fortieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Forty,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Four,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fourteen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fourteenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Fourth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Hundredth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Nine,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Nineteen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Nineteenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Ninetieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Ninety,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Ninth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
One,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
One hundred,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
One thousand,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Second,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Seven,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Seventeen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Seventeenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Seventh,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Seventieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Seventy,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Six,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Sixteen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Sixteenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Sixth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Sixtieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Sixty,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Ten,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Tenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Third,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thirteen,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thirteenth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thirtieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thirty,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thirty one,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thirty-first,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Thousandth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Three,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twelfth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twelve,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twentieth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty five,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty four,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty one,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty three,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty two,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty-fifth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty-first,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty-fourth,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty-second,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Twenty-third,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
Two,Cardinal-Ordinal,,Cardinal-Ordinal,,,,,,,,,,
yet,Conjunction-Contrast,,Conjunction-Contrast,,,,,,,,,,
aerosol,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
air bed,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
air mattress,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
amphora,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
ampoule,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
ashtray,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
atomizer,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
autoclave,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
backpack,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
Baggie,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bain marie,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bakeware,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bathtub,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bathysphere,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bedpan,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bidet,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
billy,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bin bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bin liner,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bird bath,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
biscuit barrel,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
blister pack,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
body bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
boiler,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bran tub,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
brazier,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bread bin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
brooder,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bubble pack,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bumbag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
bur,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
caecum,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cafetiÃšre,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cage,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
caldron,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
carboy,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
carpet bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
carrier bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cash box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cauldron,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cecum,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
censer,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
chafing dish,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
chalice,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
chamber pot,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
change purse,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cistern,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
clutch bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
coal scuttle,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
colander,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
continental quilt,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cookie jar,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cookware,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cool bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
crate,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
creel,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
cruet,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
decanter,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
demijohn,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
dinner service,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
diplomatic bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
dishpan,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
display bin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
diving bell,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
Dixie Cup,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
