Synonym,Standard Term,Term Id,Synonyms Type
pie cherry,Prunus cerasus,NCBITaxon_140311,Exact Synonym
cobia,Rachycentron canadum,NCBITaxon_141264,Exact Synonym
lesser bream,Brama dussumieri,NCBITaxon_1412984,Exact Synonym
southern flounder,Paralichthys lethostigma,NCBITaxon_141886,Exact Synonym
Bombay ducks,Harpadontinae,NCBITaxon_143308,Exact Synonym
brushtooth lizardfish,Saurida undosquamis,NCBITaxon_143315,Exact Synonym
spiny eel,Notacanthus chemnitzii,NCBITaxon_143895,Exact Synonym
largescale tapirfish,Notacanthus chemnitzii,NCBITaxon_143895,Exact Synonym
green garden snail,Cantareus apertus,NCBITaxon_145123,Exact Synonym
motacuchi,Attalea speciosa,NCBITaxon_145700,Exact Synonym
motacu,Attalea speciosa,NCBITaxon_145700,Exact Synonym
white mallow,Althaea officinalis,NCBITaxon_145745,Exact Synonym
marshmallow,Althaea officinalis,NCBITaxon_145745,Exact Synonym
freckled pike-conger,Hoplunnis macrura,NCBITaxon_1459830,Exact Synonym
mackerel scad,Decapterus macarellus,NCBITaxon_146143,Exact Synonym
Indian scad,Decapterus russelli,NCBITaxon_146144,Exact Synonym
bigeye scad,Selar crumenophthalmus,NCBITaxon_146146,Exact Synonym
big-eyed scad,Selar crumenophthalmus,NCBITaxon_146146,Exact Synonym
lesser sand-eel,Ammodytes marinus,NCBITaxon_146480,Exact Synonym
blue swimming crab,Callinectes danae,NCBITaxon_146765,Exact Synonym
Dana swimming crab,Callinectes danae,NCBITaxon_146765,Exact Synonym
jawless vertebrates,Cyclostomata,NCBITaxon_1476529,Exact Synonym
smallmouth blackbass,Micropterus dolomieu,NCBITaxon_147949,Exact Synonym
smallmouth bass,Micropterus dolomieu,NCBITaxon_147949,Exact Synonym
sailfin sandfish,Arctoscopus japonicus,NCBITaxon_148607,Exact Synonym
western rock lobster,Panulirus cygnus,NCBITaxon_150421,Exact Synonym
Indian spiny lobster,Panulirus homarus,NCBITaxon_150425,Exact Synonym
spiny blue lobster,Panulirus versicolor,NCBITaxon_150436,Exact Synonym
painted spiny lobster,Panulirus versicolor,NCBITaxon_150436,Exact Synonym
painted rock lobster,Panulirus versicolor,NCBITaxon_150436,Exact Synonym
South China Sea lobster,Panulirus versicolor,NCBITaxon_150436,Exact Synonym
lychee,Litchi chinensis,NCBITaxon_151069,Exact Synonym
litchi,Litchi chinensis,NCBITaxon_151069,Exact Synonym
rambutan,Nephelium lappaceum,NCBITaxon_151071,Exact Synonym
prickly saltwort,Kali turgidum,NCBITaxon_151250,Exact Synonym
common saltwort,Kali turgidum,NCBITaxon_151250,Exact Synonym
beach plum,Prunus maritima,NCBITaxon_151436,Exact Synonym
Sierra plum,Prunus subcordata,NCBITaxon_151442,Exact Synonym
Klamath plum,Prunus subcordata,NCBITaxon_151442,Exact Synonym
Polypodiidae,Polypodiidae <ferns>,NCBITaxon_1521262,Exact Synonym
red grouper,Epinephelus morio,NCBITaxon_153620,Exact Synonym
pupunha,Bactris gasipaes,NCBITaxon_154467,Exact Synonym
pijuayo,Bactris gasipaes,NCBITaxon_154467,Exact Synonym
peach palm,Bactris gasipaes,NCBITaxon_154467,Exact Synonym
gachipaes,Bactris gasipaes,NCBITaxon_154467,Exact Synonym
chonta,Bactris gasipaes,NCBITaxon_154467,Exact Synonym
megrim,Lepidorhombus whiffiagonis,NCBITaxon_154550,Exact Synonym
pink cusk-eel,Genypterus blacodes,NCBITaxon_154954,Exact Synonym
"ducks, geese, chickens, fowl, quail, currasows and allies",Galloanserae,NCBITaxon_1549675,Exact Synonym
vimba bream,Vimba vimba,NCBITaxon_155067,Exact Synonym
rooibos,Aspalathus linearis,NCBITaxon_155124,Exact Synonym
speedwell family,Plantaginaceae,NCBITaxon_156152,Exact Synonym
mung bean,Vigna radiata,NCBITaxon_157791,Exact Synonym
cottony jujube,Ziziphus mauritiana,NCBITaxon_157914,Exact Synonym
beri,Ziziphus mauritiana,NCBITaxon_157914,Exact Synonym
ber,Ziziphus mauritiana,NCBITaxon_157914,Exact Synonym
Indian-plum,Ziziphus mauritiana,NCBITaxon_157914,Exact Synonym
Chinese-date,Ziziphus mauritiana,NCBITaxon_157914,Exact Synonym
devil fish,Mobula mobular,NCBITaxon_1579277,Exact Synonym
brown meagre,Sciaena umbra,NCBITaxon_1586296,Exact Synonym
