Term,Expansion,
Three,[Cardinal-Ordinal],
Twelfth,[Cardinal-Ordinal],
Twelve,[Cardinal-Ordinal],
Twentieth,[Cardinal-Ordinal],
Twenty,[Cardinal-Ordinal],
Twenty five,[Cardinal-Ordinal],
Twenty four,[Cardinal-Ordinal],
Twenty one,[Cardinal-Ordinal],
Twenty three,[Cardinal-Ordinal],
Twenty two,[Cardinal-Ordinal],
Twenty-fifth,[Cardinal-Ordinal],
Twenty-first,[Cardinal-Ordinal],
Twenty-fourth,[Cardinal-Ordinal],
Twenty-second,[Cardinal-Ordinal],
Twenty-third,[Cardinal-Ordinal],
Two,[Cardinal-Ordinal],
yet,[Conjunction-Contrast],
aerosol,[Container-Or-Receptacle-Or-Enclosure],
air bed,[Container-Or-Receptacle-Or-Enclosure],
air mattress,[Container-Or-Receptacle-Or-Enclosure],
amphora,[Container-Or-Receptacle-Or-Enclosure],
ampoule,[Container-Or-Receptacle-Or-Enclosure],
ashtray,[Container-Or-Receptacle-Or-Enclosure],
atomizer,[Container-Or-Receptacle-Or-Enclosure],
autoclave,[Container-Or-Receptacle-Or-Enclosure],
backpack,[Container-Or-Receptacle-Or-Enclosure],
bag,[Container-Or-Receptacle-Or-Enclosure],
Baggie,[Container-Or-Receptacle-Or-Enclosure],
bain marie,[Container-Or-Receptacle-Or-Enclosure],
bakeware,[Container-Or-Receptacle-Or-Enclosure],
bathtub,[Container-Or-Receptacle-Or-Enclosure],
bathysphere,[Container-Or-Receptacle-Or-Enclosure],
bedpan,[Container-Or-Receptacle-Or-Enclosure],
bidet,[Container-Or-Receptacle-Or-Enclosure],
billy,[Container-Or-Receptacle-Or-Enclosure],
bin bag,[Container-Or-Receptacle-Or-Enclosure],
bin liner,[Container-Or-Receptacle-Or-Enclosure],
bird bath,[Container-Or-Receptacle-Or-Enclosure],
biscuit barrel,[Container-Or-Receptacle-Or-Enclosure],
blister pack,[Container-Or-Receptacle-Or-Enclosure],
body bag,[Container-Or-Receptacle-Or-Enclosure],
boiler,[Container-Or-Receptacle-Or-Enclosure],
bran tub,[Container-Or-Receptacle-Or-Enclosure],
brazier,[Container-Or-Receptacle-Or-Enclosure],
bread bin,[Container-Or-Receptacle-Or-Enclosure],
brooder,[Container-Or-Receptacle-Or-Enclosure],
bubble pack,[Container-Or-Receptacle-Or-Enclosure],
bumbag,[Container-Or-Receptacle-Or-Enclosure],
bur,[Container-Or-Receptacle-Or-Enclosure],
caecum,[Container-Or-Receptacle-Or-Enclosure],
cafeti̬re,[Container-Or-Receptacle-Or-Enclosure],
cage,[Container-Or-Receptacle-Or-Enclosure],
caldron,[Container-Or-Receptacle-Or-Enclosure],
